,Date,Start time,Opponent,Result
0,2018-10-18,8:00,Philadelphia 76ers,L
1,2018-10-20,8:00,Detroit Pistons,L
2,2018-10-22,8:30,Dallas Mavericks,L
3,2018-10-24,8:00,Charlotte Hornets,W
4,2018-10-26,7:00,Charlotte Hornets,L
5,2018-10-27,7:30,Atlanta Hawks,W
6,2018-10-29,8:00,Golden State Warriors,L
7,2018-10-31,8:00,Denver Nuggets,L
8,2018-11-02,8:00,Indiana Pacers,L
9,2018-11-03,8:00,Houston Rockets,L
10,2018-11-05,7:30,New York Knicks,W
11,2018-11-07,8:00,New Orleans Pelicans,L
12,2018-11-10,8:00,Cleveland Cavaliers,W
13,2018-11-12,8:00,Dallas Mavericks,L
14,2018-11-14,7:30,Boston Celtics,L
15,2018-11-16,9:30,Milwaukee Bucks,L
16,2018-11-17,8:00,Toronto Raptors,L
17,2018-11-21,8:00,Phoenix Suns,W
18,2018-11-23,8:00,Miami Heat,L
19,2018-11-24,8:00,Minnesota Timberwolves,L
20,2018-11-26,8:00,San Antonio Spurs,L
21,2018-11-28,8:00,Milwaukee Bucks,L
22,2018-11-30,7:00,Detroit Pistons,L
23,2018-12-01,8:00,Houston Rockets,L
24,2018-12-04,7:00,Indiana Pacers,L
25,2018-12-07,8:00,Oklahoma City Thunder,W
26,2018-12-08,8:00,Boston Celtics,L
27,2018-12-10,8:00,Sacramento Kings,L
28,2018-12-13,9:30,Orlando Magic,L
29,2018-12-15,8:30,San Antonio Spurs,W
30,2018-12-17,8:00,Oklahoma City Thunder,L
31,2018-12-19,8:00,Brooklyn Nets,L
32,2018-12-21,8:00,Orlando Magic,W
33,2018-12-23,6:00,Cleveland Cavaliers,W
34,2018-12-26,8:00,Minnesota Timberwolves,L
35,2018-12-28,7:00,Washington Wizards,W
36,2018-12-30,6:00,Toronto Raptors,L
37,2019-01-02,8:00,Orlando Magic,L
38,2019-01-04,8:00,Indiana Pacers,L
39,2019-01-06,3:30,Brooklyn Nets,L
40,2019-01-09,10:00,Portland Trail Blazers,L
41,2019-01-11,10:30,Golden State Warriors,L
42,2019-01-12,10:00,Utah Jazz,L
43,2019-01-15,10:30,Los Angeles Lakers,L
44,2019-01-17,9:00,Denver Nuggets,L
45,2019-01-19,8:00,Miami Heat,L
46,2019-01-21,1:00,Cleveland Cavaliers,W
47,2019-01-23,8:00,Atlanta Hawks,L
48,2019-01-25,8:00,Los Angeles Clippers,L
49,2019-01-27,3:30,Cleveland Cavaliers,L
50,2019-01-29,7:30,Brooklyn Nets,L
51,2019-01-30,7:30,Miami Heat,W
52,2019-02-02,7:00,Charlotte Hornets,L
53,2019-02-06,8:00,New Orleans Pelicans,L
54,2019-02-08,7:30,Brooklyn Nets,W
55,2019-02-09,8:00,Washington Wizards,L
56,2019-02-11,8:00,Milwaukee Bucks,L
57,2019-02-13,8:00,Memphis Grizzlies,W
58,2019-02-22,7:00,Orlando Magic,W
59,2019-02-23,8:00,Boston Celtics,W
60,2019-02-25,8:00,Milwaukee Bucks,L
61,2019-02-27,8:00,Memphis Grizzlies,W
62,2019-03-01,7:30,Atlanta Hawks,W
63,2019-03-03,3:30,Atlanta Hawks,L
64,2019-03-05,7:00,Indiana Pacers,L
65,2019-03-06,8:00,Philadelphia 76ers,W
66,2019-03-08,8:00,Detroit Pistons,L
67,2019-03-10,12:00,Detroit Pistons,L
68,2019-03-12,8:00,Los Angeles Lakers,L
69,2019-03-15,10:30,Los Angeles Clippers,L
70,2019-03-17,6:00,Sacramento Kings,L
71,2019-03-18,10:00,Phoenix Suns,W
72,2019-03-20,8:00,Washington Wizards,W
73,2019-03-23,8:00,Utah Jazz,L
74,2019-03-26,7:30,Toronto Raptors,L
75,2019-03-27,8:00,Portland Trail Blazers,L
76,2019-03-30,8:00,Toronto Raptors,L
77,2019-04-01,7:30,New York Knicks,L
78,2019-04-03,7:00,Washington Wizards,W
79,2019-04-06,8:00,Philadelphia 76ers,L
80,2019-04-09,8:00,New York Knicks,L
81,2019-04-10,8:00,Philadelphia 76ers,L
